Comment Date,Comment
"Jul 30, 2019, 1:35:34 PM",Lotta potential in our course art 👀
"Jun 21, 2020, 1:55:30 AM",Gotta go longer
"Jul 15, 2020, 4:41:05 PM",I had no clue that was you 🙃
"Aug 2, 2020, 11:28:55 PM",No way
"Aug 3, 2020, 2:52:42 AM",Nah I was just surprised u got strava
"Aug 19, 2020, 11:46:05 PM",You going to try the vergennes 5k course?
"Aug 31, 2020, 1:26:23 AM",[strava://athletes/31866223/14]Gerry Bergmans True
"Oct 18, 2020, 6:29:06 PM",For these top secret missions [strava://athletes/31866223/14]Gerry Bergmans 
"Oct 22, 2020, 11:57:03 PM",This site says it was first constructed in 1899 [strava://athletes/32035495/13]William Reitz https://www.loc.gov/resource/hhh.al0909.photos/?sp=17
"Nov 7, 2020, 9:41:04 PM",Light 40?
"Nov 19, 2020, 12:44:23 AM",I was pressing the wrong button for the crosswalk then never started my watch again
"Nov 19, 2020, 12:44:41 AM",[strava://athletes/32035495/13]William Reitz 
"Nov 22, 2020, 1:21:13 AM",Thanks! Brought out the hat and gloves [strava://athletes/5359460/13]Billy Corbett 
"Nov 23, 2020, 12:42:07 AM",Thank you [strava://athletes/23057489/11]David Croke 
"Nov 25, 2020, 9:32:24 PM",👀
"Jan 10, 2021, 9:08:50 PM","Some days I can bear it, some days I can't [strava://athletes/31866223/14]Gerry Bergmans "
"Jan 19, 2021, 1:34:53 AM",W
"Jan 31, 2021, 12:06:01 AM",[strava://athletes/31866223/14]Gerry Bergmans Wait for it
"Feb 1, 2021, 3:27:50 AM",Jogging but slow [strava://athletes/32035495/13]William Reitz 
"Feb 27, 2021, 2:44:03 PM",It's hard to believe it's February 😄 [strava://athletes/17524081/11]Wondu Summa 
"Mar 8, 2021, 10:19:44 PM",Sheesh
"Apr 5, 2021, 1:58:59 AM",Fast!
"Apr 17, 2021, 9:47:42 PM",Wow.
"May 2, 2021, 2:45:20 PM",Thank you!
"May 30, 2021, 12:45:43 AM",Congrats!
"Jul 22, 2021, 5:03:25 AM",Any pictures?
"Aug 2, 2021, 11:30:17 PM",Where do you get these titles?!?
"Aug 25, 2021, 1:27:06 PM",Good! [strava://athletes/32035495/13]William Reitz 
"Sep 10, 2021, 10:10:45 PM",Good luck!
"Sep 22, 2021, 9:14:02 PM",👍
"Jan 30, 2022, 8:31:37 PM",clever 
