Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,Run,64374.0,"Jul 29, 2019, 4:46:08 AM",,,Week
Distance Goal,Ride,177028.0,"Jun 8, 2020, 10:10:16 PM",,,Week
Distance Goal,Run,86905.0,"Jul 20, 2020, 12:51:41 AM",,,Week
Distance Goal,Run,67592.0,"May 25, 2020, 12:29:16 PM",,,Week
Distance Goal,Run,48280.0,"Jun 11, 2019, 3:12:31 PM",,,Week
Distance Goal,Run,56327.04,"Aug 24, 2020, 3:47:05 PM",,,Week
Distance Goal,Run,24140.0,"Apr 4, 2020, 2:17:08 PM",,,Week
Distance Goal,Run,64374.0,"Jul 6, 2020, 10:08:45 AM",,,Week
Distance Goal,Run,62764.0,"May 31, 2020, 8:46:40 PM",,,Week
Distance Goal,Run,72420.0,"Jul 15, 2020, 1:56:44 PM",,,Week
Distance Goal,Run,40234.0,"Jun 8, 2020, 10:10:09 PM",,,Week
Distance Goal,Run,56327.0,"Jul 22, 2019, 4:43:17 PM",,,Week
Distance Goal,Run,48280.0,"Jul 21, 2019, 4:01:34 PM",,,Week
Distance Goal,Run,48280.0,"Jun 23, 2020, 7:12:59 AM",,,Week
Distance Goal,Run,48280.0,"Apr 13, 2020, 5:16:28 AM",,,Week
Distance Goal,Run,64373.76,"Oct 12, 2020, 1:43:12 AM",,,Week
Distance Goal,Run,64374.0,"Oct 29, 2019, 8:42:12 PM",,,Week
Distance Goal,Run,48280.0,"Aug 26, 2019, 5:43:04 AM",,,Week
Distance Goal,Run,64374.0,"Aug 19, 2019, 4:03:15 AM",,,Week
Distance Goal,Run,49890.0,"Aug 12, 2019, 1:03:48 PM",,,Week
Distance Goal,Run,64374.0,"May 31, 2020, 2:16:18 PM",,,Week
Distance Goal,Ride,160934.0,"Jun 23, 2020, 7:12:52 AM",,,Week
Distance Goal,Run,74030.0,"Jul 15, 2020, 1:56:01 PM",,,Week
Distance Goal,Run,86904.58,"Aug 14, 2020, 5:05:45 PM",,,Week
Distance Goal,Run,24140.0,"Aug 5, 2019, 8:17:07 PM",,,Week
Distance Goal,Ride,241402.0,"Jun 16, 2020, 10:28:16 PM",,,Week
Distance Goal,Run,120701.0,"Apr 7, 2020, 11:40:20 AM",,,Week
Distance Goal,Ride,160934.4,"Sep 17, 2020, 5:12:55 PM",,,Week
Distance Goal,Run,67592.0,"Jun 1, 2020, 1:03:29 AM",,,Week
